order_id,tech_id,performance_score,text
369852,456789,97,Urgent: Server Down. Main application server (SRV-APP-01) is unresponsive. Users cannot log in. Needs immediate investigation and repair.
369853,456790,83,Install New Office Printer. Set up and configure the new HP LaserJet printer in the marketing department office. Connect to network and install drivers for relevant users.
369854,456791,83,Fix Leaking Pipe in Kitchenette. Water leak reported under the sink in the 2nd-floor kitchenette. Please repair the pipe ASAP to prevent water damage.
369855,456792,95,Quarterly HVAC Maintenance. Perform scheduled preventive maintenance on the rooftop HVAC units as per the Q2 schedule. Check filters belts and coolant levels.
369856,456793,51,Laptop Screen Cracked. User dropped their Dell Latitude laptop. The screen is cracked and unusable. Requires screen replacement.
369857,456794,55,Upgrade Firewall Software. Plan and execute the firmware upgrade for the main corporate firewall during the next maintenance window (Saturday night).
369858,456795,59,Office Door Lock Jammed. The lock on the main entrance door (East Wing) is jammed. Cannot lock the door properly. Needs repair urgently for security reasons.
369859,456796,90,New Employee IT Setup. Prepare workstation create accounts (AD Email VPN) and configure laptop for new hire starting next Monday.
369860,456797,61,WiFi Network Outage - Floor 3. Users on the 3rd floor are reporting no WiFi connectivity. Access points seem to be down. Investigate and restore service.
369861,456798,88,Annual Fire Extinguisher Inspection. Conduct the mandatory annual inspection of all fire extinguishers throughout the building. Check pressure gauges and certification tags.
369862,456799,77,Broken Chair in Meeting Room B. One of the chairs in Meeting Room B has a broken leg. It's unsafe to use. Please repair or replace.
369863,456800,99,Install Security Camera - Parking Lot. Install a new security camera (Model XYZ) overlooking the west side of the employee parking lot. Connect to the existing NVR system.
369864,456801,87,Power Failure in Warehouse Section C. Complete loss of power in Section C of the warehouse. Check circuit breakers and main panel. Affecting packing stations. Needs immediate fix.
369865,456802,54,Server Rack Cable Management. Tidy up network cabling in server rack #3. Improve airflow and organization. Scheduled task for low-traffic period.
369866,456803,80,Database Connection Error. Application reporting intermittent 'cannot connect to database' errors. Investigate database server logs and network connectivity. Service is degraded.
